Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.68858,0,0,0,0,0.326184,-0.379058,0.163141,-0.0250341,0,0,0,0,0.00390659,-0.00570355,0.00279537,-0.00046652,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.45933,0.25,0.248787,0.00787327,-0.0189211,-0.0933537,0.0689821,-0.00587432,-0.00336702,0,-0.00206262,-0.0013731,0.000188451,-0.000958414,0.00619314,-0.00483678,0.00109416,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56269,0.5,0.0937368,0.00841943,0.00561012,0.17974,-0.2452,0.119358,-0.020366,0,0.00556153,0.00270827,-0.000468492,0.00717289,-0.0197603,0.0127907,-0.00256678,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.57354,0.75,0.1913,0.00225474,0.000176301,0.144582,-0.271814,0.1584,-0.0303942,0,-0.0155898,-0.006642,0.00229412,-0.112085,0.201195,-0.114588,0.0216745,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.55387,1,0.0596762,-0.0300263,0.00111803,-0.116252,0.167242,-0.0839339,0.0146196,0,0.0716524,0.0311498,0.000235707,0.293736,-0.435606,0.226131,-0.0405467,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.47571,1,-0.0167412,0.00697796,0.00154722,0.0515701,-0.0807914,0.04336,-0.00803273,0.25,0.176431,0.00564391,0.00294374,0.120287,-0.238371,0.147821,-0.030247,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.47571,1,0.00113887,-0.00478109,0.000129841,-0.0274896,0.0529455,-0.0318133,0.00634504,0.5,0.126711,7.00479e-05,0.00233304,0.235254,-0.35757,0.193076,-0.0362129,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.55387,1,0.0128033,0.00752701,-0.00069902,0.0841177,-0.158508,0.0921303,-0.0176836,0.75,0.176951,0.00583676,0.00300302,0.179398,-0.325797,0.187599,-0.0359139,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.55387,1,-0.0617667,-0.0315407,-0.000173316,-0.324335,0.473053,-0.242532,0.0430785,1,0.0702212,-0.0315407,0.000399001,-0.1509,0.2162,-0.108472,0.0189106,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.47571,0.75,-0.176951,0.00330142,-0.00300302,-0.157877,0.288773,-0.173258,0.0348213,1,-0.0198766,0.00752701,0.00190544,0.0677022,-0.106365,0.0574597,-0.010714,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.47571,0.5,-0.126711,-3.04271e-05,-0.00233304,-0.23013,0.347426,-0.186503,0.0348166,1,0.00113887,-0.00478109,-3.50977e-05,-0.0182407,0.0369984,-0.022446,0.00447703,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.55387,0.25,-0.176431,-0.00245157,-0.00294374,-0.19162,0.340255,-0.194175,0.0369949,1,0.0107706,0.00697796,-0.00154722,0.111147,-0.199326,0.114037,-0.0217304,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.57354,0,-0.0716524,0.0311498,-0.000102385,0.14049,-0.196746,0.096698,-0.0165431,1,-0.0638675,-0.0300263,-0.000485645,-0.240275,0.33584,-0.166481,0.028767,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56269,0,0.0232983,-0.006642,-0.0021001,-0.0801357,0.119584,-0.0616915,0.0109724,0.75,-0.1913,0.000901895,0.00270329,-0.280668,0.495888,-0.285421,0.05473,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.45242,0,-0.00131858,0.00173353,-0.00103637,-0.00487464,0.00976039,-0.00608821,0.00126107,0.5,-0.0468684,0.00420971,-0.00280506,-1.09211,1.7604,-0.995718,0.194133,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.71049,0,0.00135516,-0.00066027,-0.000117746,-0.00288366,0.00424377,-0.00208078,0.000346955,0.25,-0.124394,-0.00929685,0.00946053,-0.515398,0.762544,-0.384167,0.0656124,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
