Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.24088,1.1,0,0,0,0.179472,-0.169745,0.0574935,-0.00683345,0.92,0,0,0,0.0496997,-0.0470485,0.0162162,-0.00195966,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.20321,1.375,0.11223,-0.0559504,-0.00690417,-0.0963647,0.150517,-0.0769094,0.013353,1.012,0.0660573,0.0114119,0.00292566,-0.0749061,0.13188,-0.0826379,0.0180965,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.36829,1.41,-0.0265823,-0.00681166,0.00850373,0.0211735,-0.0202814,0.00635697,-0.000690437,1.104,0.10032,0.0288909,0.000186158,-0.00196988,-0.00745237,0.0042942,-0.000637988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.984678,1.41,0.00804568,-0.00838992,0.000159499,-0.00756574,0.0130966,-0.00601967,0.000597367,1.38,0.0950238,0.00217374,0.00189867,-0.370536,0.757728,-0.563298,0.148047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.96708,1.41,-0.00496802,-0.000168941,0.00205584,0.0188776,-0.0248906,0.0108241,-0.00159596,1.45,0.0674614,0.0210791,0.00464409,0.0629475,-0.078559,0.0329758,-0.00472798,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.6419,1.41,-0.0048571,-0.000441991,-0.0011145,-0.0553374,0.0790267,-0.0403,0.00708264,1.7,0.149535,0.0121074,0.00242943,-0.0777404,0.0759633,-0.0280672,0.00371559,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.99463,1.375,-0.0373853,-0.0214932,-0.000148137,-0.103715,0.106763,-0.0395302,0.00514737,1.9,0.0929562,0.000362138,0.000148639,0.00854933,-0.0220514,0.0116136,-0.00186693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.19022,1.1,-0.186722,0.00135586,-0.00233209,0.0490019,-0.0422982,0.0137454,-0.00159708,2.024,-0.000656252,-0.0249872,-1.9185e-05,-0.00165529,-0.00079228,0.00126174,-0.000263695,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7192,0.8,-0.0991763,0.00652624,-6.07734e-05,0.0294727,-0.020508,0.00393578,9.79138e-06,1.9,-0.0933203,0.000423423,0.000220736,-0.0233368,0.0180374,-0.00492731,0.000411269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.06498,0.7,-0.0175739,0.00561989,-0.000551838,0.01196,-0.0117813,0.00424347,-0.000543024,1.7,-0.146055,-0.0117017,-0.00214101,-0.0166733,0.0430043,-0.0230116,0.00370388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.984678,0.7,0.00999922,1.80583e-05,-0.00240957,-0.0674631,0.125812,-0.0887997,0.0226585,1.45,-0.0732163,-0.0206487,-0.00145559,0.163781,-0.255698,0.143974,-0.0278544,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.36829,0.7,-0.011863,-0.010136,0.00168516,-0.0377204,0.0449828,-0.016872,0.0020935,1.38,-0.0726313,-0.0246089,-0.00297532,-0.00121599,0.00361426,-0.00116394,0.000114656,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.8072,0.7,0.0833692,0.0214838,-0.00991019,0.00178288,-0.0294514,0.0217457,-0.00430741,1.104,-0.114057,0.0235706,0.00524636,0.000827024,0.00922373,-0.00855672,0.00186862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
