Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
3.80415,25,0,0,0,-0.214412,0.124231,-0.0256701,0.00184128,6,0,0,0,0.00334721,-0.00214995,0.000462515,-3.38189e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.20413,22.5,-0.772324,-0.0597634,-0.0517776,0.117253,-0.0261385,-0.00908234,0.00269401,6,-0.0207825,-0.00581928,0.00115949,-0.0197078,0.0293704,-0.0125579,0.00173631,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.89843,21,-0.525363,-0.0555714,-0.0075195,0.0535113,-0.0454162,0.0135716,-0.00137343,6,0.0662751,0.0233876,-0.000816137,0.106244,-0.0894986,0.0258353,-0.00254699,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.54388,19,-0.894561,-0.0149229,0.0141405,0.133923,-0.0931688,0.0238536,-0.0021873,6.5,0.0854093,-0.0119974,0.00236029,0.130664,-0.115377,0.0366357,-0.00404338,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.90638,17.5,-0.288169,0.0459759,-0.0046839,-0.00442954,0.00599768,-0.00211853,0.000235943,7,0.262431,0.0534403,0.00114355,0.390083,-0.320564,0.0913352,-0.00893246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.7458,17,-0.0754147,0.0131683,-0.000532677,0.00838421,-0.00293707,0.000142932,3.34804e-05,9,0.502395,-0.0110213,-0.00334939,0.462027,-0.404637,0.123153,-0.0128434,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.78193,17,0.0786562,0.0116349,-0.00409735,-0.00100428,-0.00600873,0.00268303,-0.000312502,11,0.422143,0.00441463,0.00170925,0.4497,-0.387583,0.115927,-0.0118927,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.39099,17,-0.169342,-0.0458493,0.0199045,-0.0175721,0.0432574,-0.0187021,0.00242486,13,0.451539,-0.00793639,-0.00279849,0.638717,-0.649063,0.227811,-0.0273431,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.35718,17,0.463535,0.217794,-0.0142021,0.0031212,-0.0167383,0.00533225,-0.000492247,14.5,0.273297,-0.0286541,0.00138057,0.0727345,-0.0513776,0.012747,-0.00108719,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.43418,19,-0.0024648,-0.295733,-0.0121249,-0.0541818,0.0912093,-0.0332499,0.00386568,15.5,0.224499,0.0156412,0.000191765,0.398271,-0.393774,0.134734,-0.0157999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.12066,18,-0.192688,0.272,0.0234755,0.022155,-0.0215101,0.00496884,-0.000376519,16.5,0.236097,-0.0194624,-0.00327367,0.052058,-0.0427242,0.0118904,-0.00111791,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.16495,20,1.07327,-0.0222762,-0.0244174,-0.0772206,0.0477044,-0.00960594,0.000656455,17,-0.0253033,-0.0254277,0.00219948,-0.023881,0.0141461,-0.00286099,0.000196802,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.40454,23,0.827176,0.0202466,-0.00230374,-0.112946,0.0786092,-0.0210624,0.00205248,16.5,-0.0633342,0.00287421,-0.00311162,-0.19505,0.184886,-0.062324,0.00728116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3503,24.5,0.361592,-0.082744,0.00141091,-0.102167,0.111668,-0.039756,0.00479356,16,-0.254513,-0.0431287,0.00043809,-0.770494,0.78334,-0.276503,0.0334944,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.51619,25,0.276381,0.0616284,0.00588412,-0.00938836,0.00554521,-0.00220463,0.0003088,14.5,-0.409,0.010474,0.00324396,-0.516358,0.494685,-0.164504,0.0187347,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.30887,26,0.425838,-0.0387209,-0.00671653,-0.010779,-0.0124628,0.0101414,-0.00173373,13,-0.321672,-0.00312009,-0.00299349,-0.791139,0.815555,-0.292874,0.036125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.98337,26.5,-0.00796814,-0.0298643,0.00138302,-0.0896265,0.0702562,-0.0192604,0.00182025,11.5,-0.441746,-0.0157508,0.00241613,-0.315014,0.255832,-0.0717686,0.00688795,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.27201,26,-0.168662,-0.00106045,0.00328658,-0.29038,0.314886,-0.117235,0.0148789,9.5,-0.370744,0.0197792,-0.00265371,-0.822258,0.859803,-0.313912,0.0393799,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.9255,25.5,-0.0511557,0.0158695,-0.00382183,-0.0665049,0.0482887,-0.0129155,0.0012159,8,-0.453068,-0.0299329,0.00243625,-0.37325,0.312751,-0.089826,0.00880795,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.46847,25,-0.301789,-0.0612927,0.000380458,-0.229069,0.15939,-0.0382205,0.00313895,6,-0.244775,0.0729866,0.0012716,0.030558,-0.0214867,0.00496876,-0.000392432,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.23736,22.5,-0.465365,0.0323277,0.00129153,-0.858661,0.923237,-0.345026,0.0441821,6,0.0416618,-0.0238778,-0.000941374,-0.0512283,0.059137,-0.0222299,0.00282745,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.98337,21,-0.363316,-0.0157275,-0.00329144,-0.318189,0.255184,-0.070975,0.00677497,6,0.0398202,0.0276927,0.00121367,0.0946341,-0.0774326,0.0216225,-0.00206304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.34643,19,-0.470544,0.00950171,0.00430292,-0.723869,0.75218,-0.269572,0.0330142,6.5,0.0973645,-0.0142649,0.00156497,0.201977,-0.195728,0.067821,-0.00814608,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.85698,17.5,-0.231057,0.0390173,-0.00108969,-0.07563,0.0651303,-0.0194199,0.00197559,7,0.254719,0.0535601,0.00169994,0.430257,-0.359227,0.104051,-0.0103481,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
